Date,Nifty50 Index Value,Nifty SmallCap 250 Index
2005-09-21 00:00:00,2567.0,1510.0
2005-09-22 00:00:00,2477.0,1405.0
2005-09-23 00:00:00,2478.0,1417.0
2005-09-26 00:00:00,2557.0,1480.0
2005-09-27 00:00:00,2575.0,1494.0
2005-09-28 00:00:00,2598.0,1500.0
2005-09-29 00:00:00,2611.0,1482.0
2005-09-30 00:00:00,2601.0,1464.0
2005-10-03 00:00:00,2630.0,1490.0
2005-10-04 00:00:00,2663.0,1511.0
2005-10-05 00:00:00,2644.0,1503.0
2005-10-06 00:00:00,2579.0,1483.0
2005-10-07 00:00:00,2574.0,1480.0
2005-10-10 00:00:00,2567.0,1469.0
2005-10-11 00:00:00,2590.0,1455.0
2005-10-13 00:00:00,2537.0,1444.0
2005-10-14 00:00:00,2484.0,1407.0
2005-10-17 00:00:00,2485.0,1387.0
2005-10-18 00:00:00,2468.0,1386.0
2005-10-19 00:00:00,2412.0,1333.0
2005-10-20 00:00:00,2395.0,1305.0
2005-10-21 00:00:00,2444.0,1319.0
2005-10-24 00:00:00,2395.0,1320.0
2005-10-25 00:00:00,2418.0,1322.0
2005-10-26 00:00:00,2409.0,1323.0
2005-10-27 00:00:00,2353.0,1305.0
2005-10-28 00:00:00,2316.0,1277.0
2005-10-31 00:00:00,2371.0,1300.0
2005-11-01 00:00:00,2387.0,1326.0
2005-11-02 00:00:00,2419.0,1329.0
2005-11-07 00:00:00,2462.0,1357.0
2005-11-08 00:00:00,2493.0,1375.0
2005-11-09 00:00:00,2489.0,1373.0
2005-11-10 00:00:00,2501.0,1382.0
2005-11-11 00:00:00,2549.0,1406.0
2005-11-14 00:00:00,2559.0,1410.0
2005-11-16 00:00:00,2583.0,1422.0
2005-11-17 00:00:00,2604.0,1427.0
2005-11-18 00:00:00,2620.0,1430.0
2005-11-21 00:00:00,2603.0,1417.0
2005-11-22 00:00:00,2573.0,1409.0
2005-11-23 00:00:00,2609.0,1423.0
2005-11-24 00:00:00,2635.0,1435.0
2005-11-25 00:00:00,2664.0,1446.0
2005-11-26 00:00:00,2683.0,1455.0
2005-11-28 00:00:00,2712.0,1468.0
2005-11-29 00:00:00,2698.0,1462.0
2005-11-30 00:00:00,2652.0,1455.0
2005-12-01 00:00:00,2699.0,1468.0
2005-12-02 00:00:00,2698.0,1475.0
2005-12-05 00:00:00,2661.0,1476.0
2005-12-06 00:00:00,2662.0,1485.0
2005-12-07 00:00:00,2693.0,1495.0
2005-12-08 00:00:00,2707.0,1508.0
2005-12-09 00:00:00,2756.0,1527.0
2005-12-12 00:00:00,2776.0,1528.0
2005-12-13 00:00:00,2812.0,1526.0
