Date,Nifty50,Smallcap250,Ratio,Nifty_Return,Smallcap_Return,Nifty_Weight,Smallcap_Weight,Daily_Return,Portfolio_Value,Nifty_Portfolio,Smallcap_Portfolio,Static_50_50,Drawdown
2005-04-04,2063,1008,2.046626984126984,-0.0024177949709864865,0.008000000000000007,0.5,0.5,0.0027911025145067603,100279.1102514507,99758.22050290136,100800.0,100279.1102514507,0.0
2005-04-05,2053,999,2.055055055055055,-0.004847309743092554,-0.008928571428571397,0.5,0.5,-0.006887940585831975,99588.3936980386,99274.66150870407,99900.0,99588.3936980386,-0.006887940585831978
2005-04-06,2069,1017,2.0344149459193708,0.007793472966390658,0.018018018018018056,0.5,0.5,0.012905745492204357,100873.65616108295,100048.35589941974,101700.00000000001,100873.65616108295,0.0
2005-04-07,2053,1019,2.014720314033366,-0.007733204446592534,0.001966568338249708,0.5,0.5,-0.002883318054171413,100582.8053270834,99274.66150870407,101900.00000000001,100582.8053270834,-0.002883318054171573
2005-04-08,2031,1011,2.0089020771513355,-0.010716025328787127,-0.007850834151128527,0.5,0.5,-0.009283429739957827,99649.05192078158,98210.83172147004,101100.00000000001,99649.05192078158,-0.012139980713555447
2005-04-11,2008,1004,2.0,-0.011324470704086709,-0.006923837784371889,0.5,0.5,-0.009124154244229299,98739.83860076516,97098.64603481627,100400.00000000003,98739.83860076516,-0.021153367901232293
2005-04-12,2025,1012,2.0009881422924902,0.008466135458167434,0.007968127490039834,0.5,0.5,0.008217131474103634,99551.19683627943,97920.69632495167,101200.00000000003,99551.19683627943,-0.013110056432293054
2005-04-13,2025,1010,2.004950495049505,0.0,-0.0019762845849802257,0.5,0.5,-0.0009881422924901129,99452.8260884175,97920.69632495167,101000.00000000003,99452.8260884175,-0.014085244123565457
2005-04-15,1956,984,1.9878048780487805,-0.034074074074074034,-0.025742574257425765,0.5,0.5,-0.0299083241657499,96478.35872656517,94584.13926499036,98400.00000000001,96478.35872656517,-0.04357230224211388
2005-04-18,1928,979,1.9693564862104187,-0.014314928425357865,-0.005081300813008172,0.5,0.5,-0.009698114619183018,95542.70054536429,93230.17408123794,97900.00000000001,95542.70054536429,-0.05284784767993114
2005-04-19,1909,974,1.959958932238193,-0.00985477178423233,-0.005107252298263587,0.5,0.5,-0.007481012041247959,94827.94445213108,92311.41199226309,97400.00000000001,94827.94445213108,-0.05993350433633145
2005-04-20,1930,981,1.9673802242609582,0.011000523834468368,0.007186858316221789,0.5,0.5,0.009093691075345078,95690.28048428873,93326.88588007742,98100.00000000001,95690.28048428873,-0.05138483003448398
2005-04-21,1949,997,1.954864593781344,0.00984455958549213,0.016309887869520923,0.5,0.5,0.013077223727506526,96941.64369072962,94245.64796905225,99700.00000000003,96941.64369072962,-0.03897957722553836
2005-04-22,1967,1011,1.9455984174085064,0.009235505387378051,0.014042126379137487,0.5,0.5,0.01163881588325777,98069.92963306641,95116.05415860738,101100.00000000003,98069.92963306641,-0.027794437464815736
2005-04-25,1971,1018,1.9361493123772102,0.0020335536349771477,0.006923837784371889,0.5,0.5,0.004478695709674518,98509.15500616211,95309.4777562863,101800.00000000003,98509.15500616211,-0.023440224582967652
2005-04-26,1957,1021,1.9167482859941234,-0.007102993404363267,0.0029469548133596035,0.5,0.5,-0.0020780192955018317,98304.4510812757,94632.4951644101,102100.00000000003,98304.4510812757,-0.025469534639495344
2005-04-27,1935,1014,1.9082840236686391,-0.01124169647419515,-0.006856023506366271,0.5,0.5,-0.009048859990280711,97414.90786701985,93568.66537717605,101400.00000000004,97414.90786701985,-0.03428792437680559
2005-04-28,1941,1014,1.9142011834319526,0.0031007751937983663,0.0,0.5,0.5,0.0015503875968991832,97565.93873192996,93858.80077369441,101400.00000000004,97565.93873192996,-0.0327906963525836
